scientific_name,common_name,description,plant_anatomy,sunlight,soil,leaf,flowers,fruits,watering,cycle,origin,care_level,maintenance,growth_rate,text
"[""Achillea 'Anblo' ANTHEA""]",yarrow,"Achillea 'Anblo' ANTHEA, or yarrow, is an incredibly versatile, easy-to-grow plant. It's silvery-green foliage and bright white flowers make it a great addition to any garden. It's also a great companion plant, helping other plants to deter garden pests. Plus, yarrow can be used in natural medicine. Its leaves and flowers can help treat animal and human ailments, such as colds, fever, and diarrhea. Its flowers are also a great source of food for pollinators like bees, butterflies, and other beneficial insects. Yarrow is an amazing, hardy plant that will bring beauty and life to any garden.",,['full sun'],,True,True,False,Average,Herbaceous Perennial,['Germany'],Medium,Low,Low,"Achillea 'Anblo' ANTHEA, or yarrow, is an incredibly versatile, easy-to-grow plant. It's silvery-green foliage and bright white flowers make it a great addition to any garden. It's also a great companion plant, helping other plants to deter garden pests. Plus, yarrow can be used in natural medicine. Its leaves and flowers can help treat animal and human ailments, such as colds, fever, and diarrhea. Its flowers are also a great source of food for pollinators like bees, butterflies, and other beneficial insects. Yarrow is an amazing, hardy plant that will bring beauty and life to any garden. [] ['full sun'] [] True True False Average Herbaceous Perennial ['Germany'] Medium Low Low"
"[""Achillea 'Apfelblute' APPLEBLOSSOM""]",yarrow,"Yarrow (Achillea 'Apfelblute' APPLEBLOSSOM) is a true eye-catcher with its profusion of soft-hued blossoms displaying billowy clusters of bicolor pink and white. This sun-loving perennial thrives in dry, infertile soils, forming a bushy, compact mound that reaches 24 inches tall with a similar spread. Its narrow, grayish-green foliage stays attractive all season long, withstanding drought and heat, and the flowers continue to appear through early autumn. No fuss and no maintenance make yarrow a great choice for the novice gardener, while its striking beauty and hardiness make it a staple in the experienced gardener's garden.",,['full sun'],,True,True,False,Minimum,Herbaceous Perennial,['Germany'],Medium,Low,Low,"Yarrow (Achillea 'Apfelblute' APPLEBLOSSOM) is a true eye-catcher with its profusion of soft-hued blossoms displaying billowy clusters of bicolor pink and white. This sun-loving perennial thrives in dry, infertile soils, forming a bushy, compact mound that reaches 24 inches tall with a similar spread. Its narrow, grayish-green foliage stays attractive all season long, withstanding drought and heat, and the flowers continue to appear through early autumn. No fuss and no maintenance make yarrow a great choice for the novice gardener, while its striking beauty and hardiness make it a staple in the experienced gardener's garden. [] ['full sun'] [] True True False Minimum Herbaceous Perennial ['Germany'] Medium Low Low"
['Achillea distans'],Alps yarrow,"Alps yarrow (Achillea distans) is an amazing plant species because it’s incredibly hardy and drought-tolerant. It has small, fern-like leaves and pretty, white flower heads made up of many tiny florets held up on slender stems. No matter what altitude it's grown at, it can survive and make a great addition to gardens and rockeries. It's disease-resistant as well, and it looks great with other perennials that thrive in alpine gardens. Plus, it's easy to propagate by division. It's a hardy, reliable and low-maintenance groundcover that's sure to make any garden look lush.",,"['full sun', 'part shade']",,True,True,True,Average,Herbaceous Perennial,['Europe'],Medium,Moderate,Low,"Alps yarrow (Achillea distans) is an amazing plant species because it’s incredibly hardy and drought-tolerant. It has small, fern-like leaves and pretty, white flower heads made up of many tiny florets held up on slender stems. No matter what altitude it's grown at, it can survive and make a great addition to gardens and rockeries. It's disease-resistant as well, and it looks great with other perennials that thrive in alpine gardens. Plus, it's easy to propagate by division. It's a hardy, reliable and low-maintenance groundcover that's sure to make any garden look lush. [] ['full sun', 'part shade'] [] True True True Average Herbaceous Perennial ['Europe'] Medium Moderate Low"
['Achillea filipendulina'],fern-leaf yarrow,"Fern-leaf yarrow (Achillea filipendulina) is a stunning, vigorous perennial that is both beautiful and easy to grow. Native to southern Europe and western Asia, this hardy species offers glorious, fern-like, finely-cut foliage in a deep silvery-green. Bright, rich golden-yellow flowers will grace your garden from late spring through to early summer. The flowers attract butterflies and other pollinators, making it a valuable addition to any wildlife garden. Great for borders, it looks sensational in informal, natural plantings and makes a great companion plant with other perennials. A long-lived and versatile species, fern-leaf yarrow is sure to add a soulful beauty to any garden!","[{'part': 'flowers', 'color': ['yellow']}, {'part': 'leaves', 'color': ['green']}, {'part': 'stems', 'color': ['green']}, {'part': 'stem', 'color': ['green']}]",['Full sun'],,True,True,False,Minimum,Herbaceous Perennial,"['Caucasus', 'Iran', 'Afghanistan', 'central Asia']",Medium,Moderate,Low,"Fern-leaf yarrow (Achillea filipendulina) is a stunning, vigorous perennial that is both beautiful and easy to grow. Native to southern Europe and western Asia, this hardy species offers glorious, fern-like, finely-cut foliage in a deep silvery-green. Bright, rich golden-yellow flowers will grace your garden from late spring through to early summer. The flowers attract butterflies and other pollinators, making it a valuable addition to any wildlife garden. Great for borders, it looks sensational in informal, natural plantings and makes a great companion plant with other perennials. A long-lived and versatile species, fern-leaf yarrow is sure to add a soulful beauty to any garden! [{'part': 'flowers', 'color': ['yellow']}, {'part': 'leaves', 'color': ['green']}, {'part': 'stems', 'color': ['green']}, {'part': 'stem', 'color': ['green']}] ['Full sun'] [] True True False Minimum Herbaceous Perennial ['Caucasus', 'Iran', 'Afghanistan', 'central Asia'] Medium Moderate Low"
"[""Achillea filipendulina 'Altgold'""]",fern-leaf yarrow,"Fern-leaf yarrow (Achillea filipendulina 'Altgold') is an amazing plant species to add to any garden. They have a unique shape, with beautiful, lacy, fern like foliage and soft, cup-shaped, golden yellow flowers. The foliage is low maintenance and drought-tolerant, while the flowers provide a bright splash of color in the garden. Their long blooming season makes them excellent for low-maintenance gardens, and they also attract lots of butterflies and bees. Plus, they are deer and rabbit resistant, so they're a great option for some added protection in the garden. Fern-leaf yarrow is truly an amazing sight and a great addition to any outdoor space.",,['full sun'],,True,True,False,Average,Herbaceous Perennial,"['Germany', 'Austria', 'Switzerland', 'France', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Serbia', 'Montenegro', 'Albania', 'Bulgaria', 'Romania', 'Ukraine', 'Moldova', 'Hungary', 'Poland']",Medium,Low,Low,"Fern-leaf yarrow (Achillea filipendulina 'Altgold') is an amazing plant species to add to any garden. They have a unique shape, with beautiful, lacy, fern like foliage and soft, cup-shaped, golden yellow flowers. The foliage is low maintenance and drought-tolerant, while the flowers provide a bright splash of color in the garden. Their long blooming season makes them excellent for low-maintenance gardens, and they also attract lots of butterflies and bees. Plus, they are deer and rabbit resistant, so they're a great option for some added protection in the garden. Fern-leaf yarrow is truly an amazing sight and a great addition to any outdoor space. [] ['full sun'] [] True True False Average Herbaceous Perennial ['Germany', 'Austria', 'Switzerland', 'France', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Serbia', 'Montenegro', 'Albania', 'Bulgaria', 'Romania', 'Ukraine', 'Moldova', 'Hungary', 'Poland'] Medium Low Low"
"[""Achillea filipendulina 'Gold Coin Dwarf'""]",fern-leaf yarrow,"Fern-leaf yarrow (Achillea filipendulina 'Gold Coin Dwarf') is an amazing hardy perennial with striking, fan-shaped foliage. Bright golden-yellow flowers adorn the upright stems from spring to early summer, providing vibrant color to the garden. This sun-loving, drought-tolerant variety requires very little maintenance and will thrive in average-to-poor soil. Its evergreen foliage won't need replacing each year, meaning you can enjoy its unique beauty for years to come. It's the perfect choice for adding texture and interest to low-maintenance garden beds and containers. Fern-leaf yarrow's unique characteristics make it a truly amazing plant.","[{'part': 'stems', 'color': ['green']}, {'part': 'flowers', 'color': ['yellow']}, {'part': 'leaves', 'color': ['green']}]",['full sun'],,True,True,False,Frequent,Herbaceous Perennial,"['Central and Eastern Europe', 'Western Asia', 'North Africa', 'North America']",Easy,Low,Low,"Fern-leaf yarrow (Achillea filipendulina 'Gold Coin Dwarf') is an amazing hardy perennial with striking, fan-shaped foliage. Bright golden-yellow flowers adorn the upright stems from spring to early summer, providing vibrant color to the garden. This sun-loving, drought-tolerant variety requires very little maintenance and will thrive in average-to-poor soil. Its evergreen foliage won't need replacing each year, meaning you can enjoy its unique beauty for years to come. It's the perfect choice for adding texture and interest to low-maintenance garden beds and containers. Fern-leaf yarrow's unique characteristics make it a truly amazing plant. [{'part': 'stems', 'color': ['green']}, {'part': 'flowers', 'color': ['yellow']}, {'part': 'leaves', 'color': ['green']}] ['full sun'] [] True True False Frequent Herbaceous Perennial ['Central and Eastern Europe', 'Western Asia', 'North Africa', 'North America'] Easy Low Low"
"[""Achillea filipendulina 'Gold Plate'""]",fern-leaf yarrow,"Fern-leaf yarrow (Achillea filipendulina 'Gold Plate') is an amazing plant that is great for gardens. It has beautiful yellow flattened flowerheads with lush fern-like foliage. It is also quite low-maintenance and drought tolerant, requiring very little care once established in a garden. Its blooms appear from late spring into summer, providing color and texture for months on end. It's easy to see why this plant has become so popular these days! It is an excellent choice for dry spots, rock gardens or as an edging plant along pathways. Its bright yellow petals are sure to bring joy and beauty to any garden or landscape.","[{'part': 'flowers', 'color': ['yellow']}, {'part': 'leaves', 'color': ['green']}, {'part': 'stems', 'color': ['green']}]",['full sun'],"['Rocky ', ' gravelly ', ' dry']",True,True,True,Frequent,Herbaceous Perennial,"['Central', 'west Asia']",Medium,Moderate,High,"Fern-leaf yarrow (Achillea filipendulina 'Gold Plate') is an amazing plant that is great for gardens. It has beautiful yellow flattened flowerheads with lush fern-like foliage. It is also quite low-maintenance and drought tolerant, requiring very little care once established in a garden. Its blooms appear from late spring into summer, providing color and texture for months on end. It's easy to see why this plant has become so popular these days! It is an excellent choice for dry spots, rock gardens or as an edging plant along pathways. Its bright yellow petals are sure to bring joy and beauty to any garden or landscape. [{'part': 'flowers', 'color': ['yellow']}, {'part': 'leaves', 'color': ['green']}, {'part': 'stems', 'color': ['green']}] ['full sun'] ['Rocky ', ' gravelly ', ' dry'] True True True Frequent Herbaceous Perennial ['Central', 'west Asia'] Medium Moderate High"
"[""Achillea filipendulina 'Parker's Variety'""]",fern-leaf yarrow,"Fern-leaf Yarrow (Achillea filipendulina 'Parker's Variety') is an amazing, drought-tolerant deciduous perennial featuring fine-textured, fern-like, bright green foliage and prominent clusters of bright yellow flowers that appear all summer long. This long-flowering, heat-loving plant forms an upright clump topped with feathery, fragrant foliage and adds a splash of delightful color to your garden or landscape. It's an easy-to-grow, low-maintenance plant that requires very little care and looks great in mixed borders, rock gardens, and containers. Fern-leaf Yarrow's striking foliage provides an elegant backdrop for any garden area, attracts beneficial insects, and provides nutritious food for wild birds. It's an excellent choice for Sunset Climate Zones 1–24. Experience the captivating beauty this lovely flower with its notable feathery, fern leaves has to offer!","[{'part': 'stems', 'color': ['green']}, {'part': 'flowers', 'color': ['yellow']}, {'part': 'leaves', 'color': ['green']}]",['full sun'],,True,True,False,Average,Herbaceous Perennial,"['Germany', 'Austria', 'Switzerland', 'France', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Serbia', 'Montenegro', 'Albania', 'Bulgaria', 'Romania', 'Ukraine', 'Moldova', 'Belarus', 'Poland', 'Czech Republic', 'Slovakia', 'Hungary']",Medium,Moderate,Low,"Fern-leaf Yarrow (Achillea filipendulina 'Parker's Variety') is an amazing, drought-tolerant deciduous perennial featuring fine-textured, fern-like, bright green foliage and prominent clusters of bright yellow flowers that appear all summer long. This long-flowering, heat-loving plant forms an upright clump topped with feathery, fragrant foliage and adds a splash of delightful color to your garden or landscape. It's an easy-to-grow, low-maintenance plant that requires very little care and looks great in mixed borders, rock gardens, and containers. Fern-leaf Yarrow's striking foliage provides an elegant backdrop for any garden area, attracts beneficial insects, and provides nutritious food for wild birds. It's an excellent choice for Sunset Climate Zones 1–24. Experience the captivating beauty this lovely flower with its notable feathery, fern leaves has to offer! [{'part': 'stems', 'color': ['green']}, {'part': 'flowers', 'color': ['yellow']}, {'part': 'leaves', 'color': ['green']}] ['full sun'] [] True True False Average Herbaceous Perennial ['Germany', 'Austria', 'Switzerland', 'France', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Serbia', 'Montenegro', 'Albania', 'Bulgaria', 'Romania', 'Ukraine', 'Moldova', 'Belarus', 'Poland', 'Czech Republic', 'Slovakia', 'Hungary'] Medium Moderate Low"
['Achillea millefolium'],yarrow,"Yarrow (Achillea millefolium) is an amazing plant species that can be found growing in a variety of places including roadsides, fields, and even in your garden. Yarrow has many incredible properties, such as its ability to attract pollinators, its anti-inflammatory and antimicrobial attributes, and its hardy nature. It is a perennial flowering herb, which means it can survive many climates and resist drought conditions; this makes it a great choice for anyone looking for an easy care plant for their garden. Yarrow also has medicinal uses, and is great for soothing upset stomachs or providing relief from colds and flu. All around, yarrow is a fantastic plant that offers a wide range of benefits and is well worth adding to your garden!","[{'part': 'flowers', 'color': ['white', 'purple-white', 'white-yellow']}, {'part': 'leaves', 'color': ['green', 'green-colored']}, {'part': 'stems', 'color': ['green']}]",['full sun'],['Sandy Loamy Clay'],True,True,True,Average,Herbaceous Perennial,"['Europe', 'western Asia', 'North America']",Medium,Moderate,Moderate,"Yarrow (Achillea millefolium) is an amazing plant species that can be found growing in a variety of places including roadsides, fields, and even in your garden. Yarrow has many incredible properties, such as its ability to attract pollinators, its anti-inflammatory and antimicrobial attributes, and its hardy nature. It is a perennial flowering herb, which means it can survive many climates and resist drought conditions; this makes it a great choice for anyone looking for an easy care plant for their garden. Yarrow also has medicinal uses, and is great for soothing upset stomachs or providing relief from colds and flu. All around, yarrow is a fantastic plant that offers a wide range of benefits and is well worth adding to your garden! [{'part': 'flowers', 'color': ['white', 'purple-white', 'white-yellow']}, {'part': 'leaves', 'color': ['green', 'green-colored']}, {'part': 'stems', 'color': ['green']}] ['full sun'] ['Sandy Loamy Clay'] True True True Average Herbaceous Perennial ['Europe', 'western Asia', 'North America'] Medium Moderate Moderate"
"[""Achillea millefolium 'little moonshine'""]",yarrow,"Yarrow (Achillea millefolium 'little moonshine') is an amazing plant species, due to its unique, eye-catching appearance and its medicinal uses. Its daisy-like flowers are pale yellow and fringed with soft white petals, while its foliage forms in bright green clumps. Its low, creeping habit is attractive in rock gardens, but it can also be used as a ground cover and edging plants. This hardy perennial is easy to grow. In addition, it's a reliable source of color in the garden, attracting butterflies and bees. As an herbal remedy, yarrow is highly valued for its anti-inflammatory, antiseptic and astringent properties, making it an excellent digestive aid. In short, 'little moonshine' yarrow is an ideal choice for anybody looking for a colorful and useful plant.",,['full sun'],['Sandy Loamy Clay'],True,True,True,Average,Herbaceous Perennial,"['Europe', 'western Asia', 'North America']",Medium,Moderate,Moderate,"Yarrow (Achillea millefolium 'little moonshine') is an amazing plant species, due to its unique, eye-catching appearance and its medicinal uses. Its daisy-like flowers are pale yellow and fringed with soft white petals, while its foliage forms in bright green clumps. Its low, creeping habit is attractive in rock gardens, but it can also be used as a ground cover and edging plants. This hardy perennial is easy to grow. In addition, it's a reliable source of color in the garden, attracting butterflies and bees. As an herbal remedy, yarrow is highly valued for its anti-inflammatory, antiseptic and astringent properties, making it an excellent digestive aid. In short, 'little moonshine' yarrow is an ideal choice for anybody looking for a colorful and useful plant. [] ['full sun'] ['Sandy Loamy Clay'] True True True Average Herbaceous Perennial ['Europe', 'western Asia', 'North America'] Medium Moderate Moderate"
"[""Achillea millefolium 'Desyel' DESERT EVE YELLOW""]",yarrow,"DESERT EVE YELLOW yarrow is a showy perennial that stands out in any garden. It makes an excellent border, and its deep yellow daisy-like flowers can be a treat for both the senses and the garden. Its long-lasting blooms stay bright and cheerful from the midsummer to the first hard frost. Its heart-shaped evergreen foliage makes a great backdrop for any landscape. This drought-tolerant plant is ideal for sunny spots and is resistant to deer. It can also be used as cut flowers, as the blooms last a few days in water. DESERT EVE YELLOW yarrow is an essential addition to any flowerbed or border.",,['full sun'],['Sandy Loamy Clay'],True,True,True,Average,Herbaceous Perennial,"['Europe', 'western Asia', 'North America']",Medium,Moderate,Moderate,"DESERT EVE YELLOW yarrow is a showy perennial that stands out in any garden. It makes an excellent border, and its deep yellow daisy-like flowers can be a treat for both the senses and the garden. Its long-lasting blooms stay bright and cheerful from the midsummer to the first hard frost. Its heart-shaped evergreen foliage makes a great backdrop for any landscape. This drought-tolerant plant is ideal for sunny spots and is resistant to deer. It can also be used as cut flowers, as the blooms last a few days in water. DESERT EVE YELLOW yarrow is an essential addition to any flowerbed or border. [] ['full sun'] ['Sandy Loamy Clay'] True True True Average Herbaceous Perennial ['Europe', 'western Asia', 'North America'] Medium Moderate Moderate"
['Achillea millefolium f. rosea'],yarrow,"Yarrow (Achillea millefolium f. rosea) is an amazing plant, with it's beautifully delicate pink flowers blooming year-round. The plant is an excellent choice as a cover plant, providing unique textural contrast with its delicate, feathery leaves topped with sprays of pale-pink tiny flowers. It is also an excellent source of nectar for hungry bees, butterflies and other pollinators. Yarrow is also extremely dependable, as it is a tough, hardy perennial and can withstand both hot, dry climates and cooler, wetter environments. Its fragrant blooms are also very distinctive, offering a soothing scent of honey and herbal tea that is both refreshing and calming. Yarrow is a must-have for gardens, and truly an amazing plant.",,['full sun'],['Sandy Loamy Clay'],True,True,True,Average,Herbaceous Perennial,"['Europe', 'western Asia', 'North America']",Medium,Moderate,Moderate,"Yarrow (Achillea millefolium f. rosea) is an amazing plant, with it's beautifully delicate pink flowers blooming year-round. The plant is an excellent choice as a cover plant, providing unique textural contrast with its delicate, feathery leaves topped with sprays of pale-pink tiny flowers. It is also an excellent source of nectar for hungry bees, butterflies and other pollinators. Yarrow is also extremely dependable, as it is a tough, hardy perennial and can withstand both hot, dry climates and cooler, wetter environments. Its fragrant blooms are also very distinctive, offering a soothing scent of honey and herbal tea that is both refreshing and calming. Yarrow is a must-have for gardens, and truly an amazing plant. [] ['full sun'] ['Sandy Loamy Clay'] True True True Average Herbaceous Perennial ['Europe', 'western Asia', 'North America'] Medium Moderate Moderate"
"[""Achillea millefolium 'Montrose Rose'""]",yarrow,"Yarrow (Achillea millefolium 'Montrose Rose') is an amazing plant species for many reasons. It is an excellent choice for native landscapes because of its Deer and drought resistance. It is also very attractive and has a long blooming season of mid-spring to late summer. Its clusters of fragrant, attractive pale rose-pink flowers add great texture and color to the garden. Its fern-like foliage and clump-forming habits make it very versatile in the garden. It can be used as a back-of-the-border plant or a container plant, as well as an edging plant or for mass plantings. It also makes for great cut flowers for floral arrangements. Yarrow is an easy to care for plant that is sure to add beauty to any garden.",,['full sun'],['Sandy Loamy Clay'],True,True,True,Average,Herbaceous Perennial,"['Europe', 'western Asia', 'North America']",Medium,Moderate,Moderate,"Yarrow (Achillea millefolium 'Montrose Rose') is an amazing plant species for many reasons. It is an excellent choice for native landscapes because of its Deer and drought resistance. It is also very attractive and has a long blooming season of mid-spring to late summer. Its clusters of fragrant, attractive pale rose-pink flowers add great texture and color to the garden. Its fern-like foliage and clump-forming habits make it very versatile in the garden. It can be used as a back-of-the-border plant or a container plant, as well as an edging plant or for mass plantings. It also makes for great cut flowers for floral arrangements. Yarrow is an easy to care for plant that is sure to add beauty to any garden. [] ['full sun'] ['Sandy Loamy Clay'] True True True Average Herbaceous Perennial ['Europe', 'western Asia', 'North America'] Medium Moderate Moderate"
"[""Achillea millefolium 'Paprika'""]",yarrow,"Yarrow (Achillea millefolium 'Paprika') is an amazing plant species that thrives in full sun and well-drained soil. With its tall and upright stems, 'Paprika' produces bright, rich green leaves and pale orange-red flowers that bloom from summer through fall. This colourful species is deer and rabbit resistant, drought tolerant, and exhibits higher levels of medicinal oils than common white and pink varieties. Its height of 1 to 3 feet and spread of 1 to 2 feet make it an ideal specimen for borders and garden beds. Yarrow's exceptional performance in the garden and its ability to offer us medicinal health benefits make it a truly stand-out species.","[{'part': 'flowers', 'color': ['pink-white']}, {'part': 'leaves', 'color': ['green']}, {'part': 'stem', 'color': ['green']}]",['full sun'],['Sandy Loamy Clay'],True,True,True,Average,Herbaceous Perennial,"['Europe', 'western Asia', 'North America']",,Moderate,Moderate,"Yarrow (Achillea millefolium 'Paprika') is an amazing plant species that thrives in full sun and well-drained soil. With its tall and upright stems, 'Paprika' produces bright, rich green leaves and pale orange-red flowers that bloom from summer through fall. This colourful species is deer and rabbit resistant, drought tolerant, and exhibits higher levels of medicinal oils than common white and pink varieties. Its height of 1 to 3 feet and spread of 1 to 2 feet make it an ideal specimen for borders and garden beds. Yarrow's exceptional performance in the garden and its ability to offer us medicinal health benefits make it a truly stand-out species. [{'part': 'flowers', 'color': ['pink-white']}, {'part': 'leaves', 'color': ['green']}, {'part': 'stem', 'color': ['green']}] ['full sun'] ['Sandy Loamy Clay'] True True True Average Herbaceous Perennial ['Europe', 'western Asia', 'North America'] Moderate Moderate"
"[""Achillea millefolium 'Peachy Seduction'""]",yarrow,"Yarrow (Achillea millefolium 'Peachy Seduction') is an amazing plant due to its striking beauty and many practical uses. The tall blooms form a beautiful umbrella of pink and peach-hued petals with a strong, sweet scent. It’s also an incredibly hardy, low-maintenance flower, thriving in most soils, growing quickly and lasting for months in summer gardens. Additionally, the leaves can be dried and brewed into a tea with medicinal properties, such as boosting blood circulation and aiding digestive health. This versatile flower is a great addition to any garden.",,"['full sun', 'part sun/part shade']",['Sandy Loamy Clay'],True,True,True,Average,Herbaceous Perennial,"['Europe', 'western Asia', 'North America']",Medium,Moderate,Moderate,"Yarrow (Achillea millefolium 'Peachy Seduction') is an amazing plant due to its striking beauty and many practical uses. The tall blooms form a beautiful umbrella of pink and peach-hued petals with a strong, sweet scent. It’s also an incredibly hardy, low-maintenance flower, thriving in most soils, growing quickly and lasting for months in summer gardens. Additionally, the leaves can be dried and brewed into a tea with medicinal properties, such as boosting blood circulation and aiding digestive health. This versatile flower is a great addition to any garden. [] ['full sun', 'part sun/part shade'] ['Sandy Loamy Clay'] True True True Average Herbaceous Perennial ['Europe', 'western Asia', 'North America'] Medium Moderate Moderate"
"[""Achillea millefolium 'Pomegranate'""]",yarrow,"Yarrow (Achillea millefolium 'Pomegranate') is an amazing plant species with a unique look. Its attractive foliage and blossom heads makes it an eye-catching addition to any garden. Its colorful salmon-pink flowers with serrated petals provide an interesting and vibrant flower display. Its leaves are feathery with a deep green color and a distinctive aroma. Its tough and hardy nature makes it a resilient and reliable choice for a garden. It is also renowned for being a beneficial plant, with its flowers attracting beneficial insects, while its leaves can be used in herbal remedies. The combination of its beautiful look, resilience and usefulness makes yarrow an ideal addition to any garden.",,['full sun'],['Sandy Loamy Clay'],True,True,True,Average,Herbaceous Perennial,"['Europe', 'western Asia', 'North America']",Medium,Moderate,Moderate,"Yarrow (Achillea millefolium 'Pomegranate') is an amazing plant species with a unique look. Its attractive foliage and blossom heads makes it an eye-catching addition to any garden. Its colorful salmon-pink flowers with serrated petals provide an interesting and vibrant flower display. Its leaves are feathery with a deep green color and a distinctive aroma. Its tough and hardy nature makes it a resilient and reliable choice for a garden. It is also renowned for being a beneficial plant, with its flowers attracting beneficial insects, while its leaves can be used in herbal remedies. The combination of its beautiful look, resilience and usefulness makes yarrow an ideal addition to any garden. [] ['full sun'] ['Sandy Loamy Clay'] True True True Average Herbaceous Perennial ['Europe', 'western Asia', 'North America'] Medium Moderate Moderate"
"[""Achillea millefolium 'Pretty Belinda'""]",yarrow,"Yarrow (Achillea millefolium 'Pretty Belinda') is an amazing plant to have in your garden! It blooms with beautiful white and pink umbel-shaped flowers in late spring or early summer. The foliage has attractive silver-green fern-like leaves and the stems are strong and unbranched, making the plant a great choice for borders, container gardens, and drying. It's a great plant for attracting pollinators such as butterflies and bees, and it's drought tolerant and easy to care for once established. Not only is it beautiful to look at, yarrow is also medicinal and highly useful for natural healing. It has been used for centuries for its antiseptic and wound healing properties. All of these qualities make 'Pretty Belinda' a must-have for your garden!",,['Full sun'],['Sandy Loamy Clay'],True,True,True,Average,Herbaceous Perennial,"['Europe', 'western Asia', 'North America']",Medium,Moderate,Moderate,"Yarrow (Achillea millefolium 'Pretty Belinda') is an amazing plant to have in your garden! It blooms with beautiful white and pink umbel-shaped flowers in late spring or early summer. The foliage has attractive silver-green fern-like leaves and the stems are strong and unbranched, making the plant a great choice for borders, container gardens, and drying. It's a great plant for attracting pollinators such as butterflies and bees, and it's drought tolerant and easy to care for once established. Not only is it beautiful to look at, yarrow is also medicinal and highly useful for natural healing. It has been used for centuries for its antiseptic and wound healing properties. All of these qualities make 'Pretty Belinda' a must-have for your garden! [] ['Full sun'] ['Sandy Loamy Clay'] True True True Average Herbaceous Perennial ['Europe', 'western Asia', 'North America'] Medium Moderate Moderate"
"[""Achillea millefolium 'Red Beauty'""]",yarrow,"Yarrow (Achillea millefolium 'Red Beauty') is an awesome flowering perennial that is perfect for gardeners of any level. It has deep red flowers and dark green, fern-like foliage that provides great texture and color in any flower bed. With its colorful blooms, this plant adds amazing visual interest to the garden. This plant is also well-suited for a variety of terrain, and is easy to care for and maintain. Plus, its well-known medicinal properties make it a great addition to any garden. Not only is yarrow beautiful to look at, it's also incredibly useful to have around.","[{'part': 'leaves', 'color': ['dark-green']}, {'part': 'stems', 'color': ['green-white', 'green']}, {'part': 'flowers', 'color': ['white', 'pink-white']}]","['full sun', 'part sun/part shade']",['Sandy Loamy Clay'],True,True,True,Average,Herbaceous Perennial,"['Europe', 'western Asia', 'North America']",Medium,Moderate,Moderate,"Yarrow (Achillea millefolium 'Red Beauty') is an awesome flowering perennial that is perfect for gardeners of any level. It has deep red flowers and dark green, fern-like foliage that provides great texture and color in any flower bed. With its colorful blooms, this plant adds amazing visual interest to the garden. This plant is also well-suited for a variety of terrain, and is easy to care for and maintain. Plus, its well-known medicinal properties make it a great addition to any garden. Not only is yarrow beautiful to look at, it's also incredibly useful to have around. [{'part': 'leaves', 'color': ['dark-green']}, {'part': 'stems', 'color': ['green-white', 'green']}, {'part': 'flowers', 'color': ['white', 'pink-white']}] ['full sun', 'part sun/part shade'] ['Sandy Loamy Clay'] True True True Average Herbaceous Perennial ['Europe', 'western Asia', 'North America'] Medium Moderate Moderate"
"[""Achillea millefolium 'Saucy Seduction'""]",yarrow,"Yarrow (Achillea millefolium 'Saucy Seduction') is a perennial flower that is perfect for cutting gardens and patios. Its delicate, fragrant blooms come in a mix of deep magenta, pink and purple and attract butterflies and hummingbirds. This hardy plant is also an excellent choice for dry gardens as it has good drought tolerance. Its well-branched, upright habit makes it ideal for groundcover, rock gardens, cottage-style gardens, and may even be used as a border. It is deer resistant and easy to maintain—just prune lightly after blooming. Yarrow's unique beauty, easy care, and versatility make it an amazing addition to any garden!","[{'part': 'stems', 'color': ['green']}, {'part': 'flowers', 'color': ['pink-white']}, {'part': 'leaves', 'color': ['green']}]","['full sun', 'part shade']",['Sandy Loamy Clay'],True,True,True,Average,Herbaceous Perennial,"['Europe', 'western Asia', 'North America']",Medium,Moderate,Moderate,"Yarrow (Achillea millefolium 'Saucy Seduction') is a perennial flower that is perfect for cutting gardens and patios. Its delicate, fragrant blooms come in a mix of deep magenta, pink and purple and attract butterflies and hummingbirds. This hardy plant is also an excellent choice for dry gardens as it has good drought tolerance. Its well-branched, upright habit makes it ideal for groundcover, rock gardens, cottage-style gardens, and may even be used as a border. It is deer resistant and easy to maintain—just prune lightly after blooming. Yarrow's unique beauty, easy care, and versatility make it an amazing addition to any garden! [{'part': 'stems', 'color': ['green']}, {'part': 'flowers', 'color': ['pink-white']}, {'part': 'leaves', 'color': ['green']}] ['full sun', 'part shade'] ['Sandy Loamy Clay'] True True True Average Herbaceous Perennial ['Europe', 'western Asia', 'North America'] Medium Moderate Moderate"
